Load	Stroke	Strain	Time
306.000000	0.096300	4.094000	0.546233
303.000000	0.096800	4.094000	0.547400
304.000000	0.097300	4.094000	0.548550
306.000000	0.097000	4.094000	0.549700
301.000000	0.097800	4.094000	0.550867
305.000000	0.097500	4.094000	0.552017
302.000000	0.098300	4.094000	0.553167
304.000000	0.098300	4.094000	0.554333
302.000000	0.098600	4.094000	0.555483
299.000000	0.098600	4.094000	0.556650
305.000000	0.098600	4.094000	0.557817
303.000000	0.099100	4.094000	0.558967
301.000000	0.099300	4.094000	0.560117
299.000000	0.099600	4.094000	0.561283
303.000000	0.099800	4.094000	0.563217
299.000000	0.100300	4.094000	0.564367
298.000000	0.100300	4.094000	0.566100
298.000000	0.100800	4.094000	0.567250
301.000000	0.100800	4.094000	0.568417
294.000000	0.101300	4.094000	0.569567
298.000000	0.101300	4.094000	0.570700
296.000000	0.101600	4.094000	0.571867
297.000000	0.101900	4.094000	0.573033
298.000000	0.102100	4.094000	0.574183
299.000000	0.102400	4.094000	0.575350
294.000000	0.102600	4.094000	0.576517
299.000000	0.102900	4.094000	0.577667
296.000000	0.103100	4.094000	0.578833
297.000000	0.103400	4.094000	0.580550
298.000000	0.103600	4.094000	0.581683
294.000000	0.103900	4.094000	0.582833
295.000000	0.104100	4.094000	0.584017
294.000000	0.104400	4.094000	0.585167
297.000000	0.104600	4.094000	0.586333
297.000000	0.104900	4.094000	0.587650
293.000000	0.104900	4.094000	0.588783
294.000000	0.105200	4.094000	0.589950
296.000000	0.105700	4.094000	0.591117
296.000000	0.105700	4.094000	0.592250
292.000000	0.105900	4.094000	0.593417
291.000000	0.106200	4.094000	0.594583
296.000000	0.106400	4.094000	0.595950
292.000000	0.106700	4.094000	0.597700
295.000000	0.107200	4.094000	0.598867
295.000000	0.107200	4.094000	0.600133
291.000000	0.107700	4.094000	0.601300
292.000000	0.107700	4.094000	0.602450
294.000000	0.108000	4.094000	0.603583
291.000000	0.108200	4.094000	0.604750
294.000000	0.108500	4.094000	0.605933
291.000000	0.108700	4.094000	0.607083
293.000000	0.109000	4.094000	0.608450
287.000000	0.109200	4.094000	0.609617
291.000000	0.109500	4.094000	0.610767
290.000000	0.109700	4.094000	0.611917
292.000000	0.110000	4.094000	0.613083
288.000000	0.110000	4.094000	0.614800
289.000000	0.110500	4.094000	0.615967
290.000000	0.110700	4.094000	0.617667
287.000000	0.111000	4.094000	0.618833
288.000000	0.111300	4.094000	0.619983
291.000000	0.111500	4.094000	0.621150
288.000000	0.111800	4.094000	0.622283
291.000000	0.112000	4.094000	0.623433
285.000000	0.112300	4.094000	0.624583
